bag,flipper,gait,run,axis,samples,raw_min,raw_max,clean_min,clean_max,clean_p0_5,clean_p99_5,average_interval_source,average_duration_s,clean_abs_mean,clean_abs_impulse_ns,clean_abs_p99_5,clean_abs_max,max_to_p99_5_ratio,abs_peak_time_s
rib_flipper_vansh_rollAmpAndFrequency_11_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,11,Fz,85860,-7.945167541503906,5.868984222412109,-3.6017372608184814,0.8689166307449341,-3.6017372608184814,0.7968053817749023,servo_activity,8.220662832260132,1.2595591168625304,10.3544108170262,3.6017372608184814,3.6017372608184814,1.0,2.782961130142212
rib_flipper_vansh_rollAmpAndFrequency_11_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,11,Net,85860,0.08398253470659256,9.847077369689941,0.15217586588366758,7.025882923546784,0.36198799651573493,7.007761715242658,servo_activity,8.220662832260132,4.987619875295715,41.00154133028539,7.007761715242658,7.025882923546784,1.0025858767807,1.0464658737182617
rib_flipper_vansh_rollAmpAndFrequency_12_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,12,Fx,86980,-5.158878326416016,2.6076390743255615,-2.076603651046753,0.45946982502937317,-1.9465137720108032,0.4557189643383026,servo_activity,8.24056887626648,0.4583320136816904,3.7769165269418803,1.9465137720108032,2.076603651046753,1.0668322417783682,6.577289342880249
rib_flipper_vansh_rollAmpAndFrequency_12_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,12,Fy,86980,-7.645212650299072,8.084064483642578,-5.9589619636535645,6.698117256164551,-5.821670055389404,6.698117256164551,servo_activity,8.24056887626648,4.289534037518559,35.348200683261126,6.698117256164551,6.698117256164551,1.0,8.24729299545288
rib_flipper_vansh_rollAmpAndFrequency_12_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,12,Fz,86980,-7.053055286407471,6.0524091720581055,-2.8441572189331055,0.7909260988235474,-2.843492031097412,0.7684227824211121,servo_activity,8.24056887626648,1.034061241251811,8.521252880813158,2.843492031097412,2.8441572189331055,1.0002339334270745,7.119282245635986
rib_flipper_vansh_rollAmpAndFrequency_12_rib_flipper.bag,rib_flipper,rollAmpAndFrequency,12,Net,86980,0.4665772616863251,9.465081214904785,0.278364568546626,7.128522542932449,0.609358621327594,7.0490795785862765,servo_activity,8.24056887626648,4.5569736384486825,37.55205513496703,7.0490795785862765,7.128522542932449,1.0112699769467073,8.231560945510864
rib_flipper_vansh_experimental_sinusoidalYaw_1_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,1,Fx,86380,-5.733821868896484,3.763765573501587,-3.9876325130462646,3.1381278038024902,-3.9598422050476074,3.129099130630493,servo_activity,8.213174819946289,2.2155520748296906,18.19671651327097,3.9598422050476074,3.9876325130462646,1.0070180341941992,0.0
rib_flipper_vansh_experimental_sinusoidalYaw_1_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,1,Fy,86380,-12.242864608764648,4.433683395385742,-6.6181640625,2.382688045501709,-6.591436347961426,2.382688045501709,servo_activity,8.213174819946289,2.7642152061302303,22.70298272790145,6.591436347961424,6.6181640625,1.0040549150636708,5.618626832962036
rib_flipper_vansh_experimental_sinusoidalYaw_1_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,1,Fz,86380,-8.164249420166016,4.200951099395752,-4.261916637420654,0.9860926270484924,-4.252323627471924,0.9681261777877808,servo_activity,8.213174819946289,1.1219046926935738,9.21439937241044,4.252323627471924,4.261916637420654,1.0022559454051791,1.229060411453247
rib_flipper_vansh_experimental_sinusoidalYaw_1_rib_flipper.bag,rib_flipper,experimental_sinusoidalYaw,1,Net,86380,0.04064101725816727,12.71660327911377,0.12409925397207795,7.554555899765662,0.2547879952707001,7.546550978769171,servo_activity,8.213174819946289,3.984495640886189,32.7253592679122,7.546550978769171,7.554555899765662,1.001060739007662,1.5884878635406494
